path,cluster,bg_frac,p1,p50,p99,grad_mean,grad_tail,var_med,var_iqr,spec_slope
000000.npy,0,0.372620,0.007843,0.086275,0.882353,0.023691,6.142598,0.001000,0.003772,-1.718231
000001.npy,0,0.027084,0.031373,0.309804,0.831373,0.021715,4.121057,0.001117,0.002176,-1.674431
000002.npy,0,0.035172,0.023529,0.290196,0.811765,0.021778,4.018733,0.001094,0.002327,-1.657504
000003.npy,0,0.027985,0.027451,0.286275,0.796078,0.021119,4.054684,0.000998,0.002050,-1.654353
000004.npy,1,0.002991,0.066667,0.388235,0.705882,0.077277,3.864772,0.010499,0.015067,-0.892501
000005.npy,0,0.002197,0.113725,0.266667,0.431373,0.032598,4.344334,0.001468,0.001892,-0.816772
000006.npy,0,0.002213,0.113725,0.266667,0.431373,0.032228,4.387831,0.001477,0.001919,-0.818837
000007.npy,0,0.002151,0.109804,0.262745,0.435294,0.032395,4.481177,0.001421,0.001917,-0.820064
000008.npy,1,0.004166,0.094118,0.517647,0.898039,0.076706,4.049421,0.012518,0.019243,-1.149429
000009.npy,0,0.004120,0.078431,0.545098,0.890196,0.053157,5.585883,0.003552,0.014402,-1.147247
000010.npy,0,0.005692,0.066667,0.505882,0.862745,0.045338,6.050852,0.001860,0.010164,-1.178286
000011.npy,0,0.002975,0.086275,0.556863,0.894118,0.055105,5.415691,0.004484,0.015661,-1.144967
000012.npy,0,0.001282,0.078431,0.192157,0.909804,0.024728,3.903392,0.000891,0.001011,-1.339180
000013.npy,0,0.000519,0.113725,0.898039,0.909804,0.029868,11.718749,0.000008,0.000039,-1.178276
000014.npy,0,0.000427,0.109804,0.894118,0.909804,0.025142,13.571341,0.000008,0.000005,-1.200389
000015.npy,0,0.000702,0.105882,0.898039,0.913725,0.034123,10.431479,0.000008,0.004576,-1.174509
000016.npy,0,0.005112,0.086275,0.866667,0.976471,0.028302,9.331391,0.000601,0.003467,-1.504808
000017.npy,1,0.000809,0.113725,0.658824,0.858824,0.080156,3.234182,0.024635,0.029301,-1.276546
000018.npy,1,0.000565,0.121569,0.662745,0.854902,0.078226,3.259223,0.022848,0.028321,-1.273744
000019.npy,1,0.000671,0.117647,0.658824,0.858824,0.080245,3.236467,0.024671,0.028341,-1.276762
000020.npy,0,0.000122,0.090196,0.623529,0.886275,0.017713,3.778290,0.000669,0.001513,-1.639390
